t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns
0.02674200000183191,0.0,900,25.1,-51.8,0.04,0.0,-0.05,-0.1,0.0,0,25.2,0,184.87792,0.00048779999633552507,0.012537525589852496,0.00012205555555553353
0.05323320000024978,0.0,900,25.1,-51.9,0.04,0.0,-0.07,-0.12,0.0,0,25.2,0,184.83398,0.0004054000019095838,0.012537525589852496,-8.131516293641283e-20
0.0796489999993355,0.0,900,25.1,-51.9,0.04,0.0,-0.08,-0.1,0.004,0,25.2,0,184.81202,0.0004670999987865798,-0.1846086623983421,-6.1000000000019765e-05
0.10576099999889266,0.0,900,25.1,-51.8,0.75,0.01,-0.81,0.72,0.02,0,25.2,0,184.8999,0.00022879999596625566,0.1385826970277143,0.0001831111111111264
0.1321135000034701,0.0,900,25.1,-52.0,2.08,0.03,-1.63,1.59,0.021,0,25.2,0,184.9878,0.0004606000002240762,0.33341021189352366,0.0004272777777777668
0.1583530999996583,0.0,900,25.1,-52.0,2.71,0.04,-2.0,2.0,0.022,1,25.2,0,185.31738,0.00028309999470366165,1.111232485427191,0.001342777777777826
0.1846609999993234,0.0,900,25.1,-52.1,3.3,0.05,-2.35,2.33,0.023,3,25.2,0,185.97656,0.00043569999979808927,2.8986213168877697,0.00317383333333336
0.21116500000061933,0.0,900,25.1,-51.9,3.68,0.05,-2.6,2.66,0.023,7,25.2,0,187.3169,0.0002956000025733374,6.340513264594481,0.006897000000000021
0.2371123999982956,0.0,900,25.1,-51.6,4.09,0.06,-2.87,2.92,0.023,11,25.2,0,188.41552,0.0003037999995285645,8.926742775755836,0.009948722222222196
0.2631915000019944,0.0,900,25.1,-51.6,4.43,0.07,-3.09,3.18,0.024,16,25.2,0,190.72266,0.00035799999750452116,14.572362503326124,0.01635744444444443
0.2891094000005978,0.0,900,25.1,-51.5,4.71,0.08,-3.21,3.46,0.026,21,25.2,0,192.67822,0.00039429999742424116,18.780652216935607,0.021789555555555597
0.3155579000012949,0.0,900,25.1,-51.2,5.04,0.09,-3.57,3.56,0.027,27,25.2,0,196.01806,0.0004528999998001382,25.573399080052965,0.031066888888888877
0.34238700000423705,0.0,900,25.1,-51.2,5.35,0.1,-3.86,3.72,0.027,34,25.2,0,200.25878,0.00041229999624192715,32.9043674582099,0.042846666666666686
0.3685263000006671,0.0,900,25.1,-51.2,5.6,0.1,-4.04,3.89,0.028,42,25.2,0,203.68652,0.0003056999994441867,38.73585802613152,0.05236816666666668
0.3949750000028871,0.0,900,25.0,-50.8,5.8,0.11,-4.2,4.01,0.027,53,25.2,0,209.9707,0.0004345999986981042,48.714477520064435,0.0698242222222222
0.42111950000253273,0.0,900,25.1,-50.7,5.89,0.1,-4.06,4.26,0.025,64,25.2,0,217.72706,0.0004269999990356155,63.26586177578395,0.09136966666666665
0.44759309999790275,0.0,900,25.0,-50.8,5.77,0.1,-3.9,4.25,0.027,76,25.2,0,223.65966,0.0005588999993051402,69.84387361448823,0.10784911111111112
0.47447700000338955,0.0,900,25.0,-50.6,5.88,0.11,-4.31,4.0,0.028,87,25.2,0,233.2837,0.0005919000032008626,83.4535421034376,0.1345825555555556
0.5008946000016294,0.0,900,25.0,-50.3,5.91,0.11,-4.35,4.14,0.026,100,25.2,0,244.46778,0.0006386000022757798,102.9559928488733,0.16564944444444446
