t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns
0.026004700019257143,0.0,450,23.0,-49.9,0.0,0.0,0.06,0.0,0.0,0,24.6,0,125.52979,0.00024980001035146415,6.518162355477364e-14,-0.00012205555555592845
0.05244840000523254,0.0,450,23.0,-49.9,0.01,0.0,0.06,0.0,0.0,0,24.6,0,125.55176,0.0004034000157844275,6.518162355477364e-14,-6.1027777778201114e-05
0.07905890000984073,0.0,450,23.0,-49.9,0.04,0.0,0.06,0.04,0.006,0,24.6,0,125.55176,0.0006051000091247261,-0.09298514482082613,-6.102777777820112e-05
0.1055532000027597,0.0,450,23.0,-49.9,1.14,0.01,-0.75,0.89,0.02,0,24.6,0,125.61768,0.0004908000119030476,0.13903757528243896,0.00012208333333292535
0.1322476000059396,0.0,450,23.0,-49.9,2.25,0.03,-1.6,1.6,0.02,0,24.6,0,125.66162,0.0004778000002261251,0.22181891510545998,0.00024413888888853792
0.1586097000108566,0.0,450,23.0,-50.1,2.77,0.04,-1.96,1.96,0.022,1,24.6,0,126.01318,0.00032369999098591506,1.2157891876460583,0.0012206944444441898
0.18517499999143183,0.0,450,23.0,-50.4,3.21,0.04,-2.27,2.28,0.022,3,24.6,0,126.65039,0.0005249000096227974,2.7617896994003046,0.0029907222222219174
0.2117937000002712,0.0,450,23.0,-50.3,3.63,0.05,-2.56,2.58,0.023,6,24.6,0,127.35352,0.0007127000135369599,4.5283652412938675,0.0049438611111107715
0.23861080000642687,0.0,450,23.0,-50.3,4.0,0.06,-2.8,2.87,0.023,10,24.6,0,128.82568,0.00016110000433400273,8.016791278889801,0.009033194444444111
0.26492770001641475,0.0,450,23.0,-50.6,4.33,0.07,-2.99,3.15,0.025,14,24.6,0,130.80322,0.0004253000079188496,12.912166082636041,0.01452636111111079
0.291681000002427,0.0,450,23.0,-50.7,4.65,0.08,-3.25,3.33,0.026,19,24.6,0,132.49512,0.0006142000202089548,16.272294594155248,0.019226083333332946
0.31857299999683164,0.0,450,23.0,-51.1,4.96,0.09,-3.55,3.48,0.027,25,24.6,0,135.41748,0.0005068999889772385,21.903126563673386,0.027343749999999684
0.3451532000035513,0.0,450,23.0,-51.3,5.23,0.1,-3.76,3.64,0.028,31,24.6,0,139.35059,0.00035909999860450625,29.907423883622176,0.03826905555555524
0.37140269999508746,0.0,450,23.0,-51.4,5.45,0.1,-3.93,3.78,0.028,39,24.6,0,142.44873,0.00036100001307204366,34.24788915216846,0.04687499999999969
0.398140000004787,0.0,450,23.0,-51.4,5.6,0.1,-4.05,3.87,0.027,49,24.6,0,148.40332,0.0006951999966986477,44.12970447909578,0.06341552777777745
0.4243963999906555,0.0,450,23.0,-51.3,5.65,0.1,-3.97,4.02,0.025,61,24.6,0,155.83008,0.00038610000046901405,58.50859614984025,0.08404541666666634
0.45101469999644905,0.0,450,23.0,-51.4,5.49,0.09,-3.63,4.1,0.027,73,24.6,0,161.65283,0.0006620999774895608,66.10974953753579,0.10021972222222185
0.47774960001697764,0.0,450,23.0,-51.5,5.48,0.1,-4.01,3.74,0.027,85,24.6,0,171.0791,0.0004953999887220562,79.84479738327288,0.12640380555555522
0.5042596000130288,0.0,450,23.0,-51.9,5.56,0.1,-4.07,3.79,0.027,97,24.6,0,181.80176,0.0006276000058278441,98.93443124273908,0.1561889722222219
0.5308114000072237,0.0,450,23.0,-52.2,5.47,0.09,-3.68,4.03,0.026,110,24.6,0,189.73388,0.0006566000229213387,103.81179803376874,0.17822263888888856
0.5573940000031143,0.0,450,23.0,-52.3,5.33,0.1,-3.82,3.7,0.028,121,24.6,0,202.47802,0.00022670000907965004,116.77437168462822,0.21362302777777742
0.5837772999948356,0.0,450,23.0,-52.2,5.48,0.1,-3.94,3.84,0.025,132,24.6,0,216.34278,0.00048099999548867345,137.1207425971736,0.25213624999999973
0.6104911000002176,0.0,450,23.0,-52.3,5.2,0.09,-3.63,3.88,0.027,143,24.6,0,226.16456,0.00044010000419802964,138.27004867913308,0.27941897222222195
0.6370616999920458,0.0,450,23.0,-52.0,5.23,0.1,-4.08,3.73,0.026,154,24.6,0,241.67724,0.00039499998092651367,150.02449231379913,0.32250974999999976
0.6638880000100471,0.0,450,23.0,-52.0,5.19,0.09,-3.6,3.98,0.028,166,24.6,0,258.55224,0.0004749999789055437,172.14251496067487,0.3693847499999997
0.6903060000040568,0.0,450,23.0,-52.2,5.49,0.1,-4.02,3.76,0.025,178,24.6,0,270.50538,0.00035780001780949533,170.77558169083017,0.40258791666666643
0.7166287000000011,0.0,450,23.0,-52.4,5.32,0.09,-3.66,3.83,0.028,189,24.6,0,289.5996,0.00035859999479725957,183.63902311186345,0.45562741666666645
0.743172999995295,0.0,450,23.0,-52.3,5.5,0.1,-3.93,3.83,0.025,201,24.6,0,309.55078,0.0004962999955751002,209.57688380761334,0.5110473611111108
0.7697381000034511,0.0,450,23.0,-52.5,5.33,0.1,-3.82,3.7,0.028,212,24.6,0,323.5254,0.0004889999981969595,205.77888367590077,0.5498657499999998
0.7961877000052482,0.0,450,22.9,-52.7,5.39,0.09,-3.62,3.96,0.027,224,24.6,0,345.56396,0.00048600000445730984,219.24820594542726,0.6110839722222221
0.8225296000018716,0.0,450,23.0,-53.0,5.42,0.1,-3.98,3.67,0.025,237,24.6,0,8.96484,0.0003242999955546111,248.15260634225024,0.6760864166666665
0.8487414999981411,0.0,450,23.0,-52.8,5.25,0.09,-3.71,3.68,0.027,247,24.6,0,24.91699,0.000537199986865744,240.81833480378108,0.7203979444444444
0.8748833000136074,0.0,450,23.0,-52.7,5.29,0.09,-3.64,3.88,0.028,256,24.6,0,49.76806,0.00039579998701810837,253.43777621012927,0.7894286944444443
0.9013636000163388,0.0,450,23.0,-52.4,5.25,0.1,-3.82,3.91,0.027,267,24.6,0,75.84961,0.0004515000036917627,284.3732238901309,0.8618774444444445
0.9279045000148471,0.0,450,23.0,-52.4,5.44,0.1,-3.91,3.81,0.026,279,24.6,0,93.88916,0.0005043999990448356,274.1743085029501,0.9119873055555555
0.9542804000084288,0.0,450,23.0,-52.0,5.41,0.1,-3.93,3.7,0.025,290,24.6,0,121.97021,0.0003519000019878149,285.9658911976306,0.9899902222222221
0.9809133000089787,0.0,450,23.0,-51.8,5.43,0.1,-3.81,3.82,0.027,301,24.6,0,151.21582,0.00011069999891333282,317.509331189674,1.0712280277777777
1.0072688999935053,0.0,450,23.0,-51.9,5.42,0.1,-3.76,3.86,0.027,313,24.6,0,171.4087,0.0004771999956574291,306.46590785302504,1.127319361111111
1.0333486000017729,0.0,450,23.0,-52.1,5.38,0.09,-3.75,3.82,0.027,324,24.6,0,202.56592,0.0003262000100221485,319.7237609027864,1.2138671944444444
1.0599279000016395,0.0,450,22.9,-52.1,5.29,0.1,-3.79,3.85,0.027,334,24.6,0,223.7915,0.0003628999984357506,327.62618294259016,1.2728271388888888
1.0864765000005718,0.0,450,23.0,-52.0,5.31,0.1,-3.86,3.89,0.027,345,24.6,0,256.46484,0.00045369999133981764,339.3914732884698,1.3635864166666665
1.112763300014194,0.0,450,23.0,-52.3,5.49,0.1,-3.86,3.87,0.028,356,24.6,0,290.54444,0.0004291999794077128,353.0794724163868,1.458251972222222
1.138759099994786,0.0,450,23.0,-52.4,5.4,0.1,-3.82,3.78,0.027,367,24.6,0,313.72558,0.0003293000045232475,360.3751813031608,1.5226440277777775
