t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns
0.026265399996191263,0.0,60,23.0,-51.2,-0.01,0.0,-0.02,0.05,0.0,0,24.6,0,251.38916,0.000541799992788583,0.0,0.00018311111111112634
0.05292260000715032,0.0,60,23.0,-51.2,-0.03,0.0,-0.02,0.06,0.0,0,24.6,0,251.38916,0.0003768000169657171,0.0,0.00018311111111112634
0.07929839999997057,0.0,60,23.0,-51.2,-0.02,0.0,-0.02,0.09,0.003,0,24.6,0,251.38916,0.0005522000137716532,0.09286839981812346,0.0001831111111111263
0.10579830000642687,0.0,60,23.0,-51.3,-0.09,0.0,-0.8,0.79,0.019,0,24.6,0,251.36718,0.00034020000020973384,-3.079982725150095e-17,0.00012205555555553344
0.13232440000865608,0.0,60,23.0,-51.3,0.99,0.03,-1.56,1.64,-0.021,0,24.6,0,251.41114,0.0003795000084210187,0.11093295217346096,0.0002441666666666402
0.15889570000581443,0.0,60,23.0,-51.3,1.8,0.04,-1.94,2.02,0.022,0,24.6,0,251.65284,0.0005224000196903944,0.6625958035677828,0.0009155555555555531
0.18527320001157932,0.0,60,23.0,-51.5,2.02,0.04,-2.04,2.11,0.023,1,24.6,0,251.9165,0.00042749999556690454,1.328703255637888,0.0016479444444444857
0.211595100001432,0.0,60,23.0,-51.6,1.92,0.04,-2.04,2.08,0.022,3,24.6,0,252.55372,0.0002975999959744513,2.928590091366126,0.0034179999999999996
0.237833999999566,0.0,60,23.0,-51.8,2.13,0.04,-2.03,2.03,0.023,5,24.6,0,253.05908,0.0005455999926198274,4.277968047280669,0.004821777777777766
0.26438780000898987,0.0,60,23.0,-51.7,2.12,0.04,-2.0,2.0,0.023,7,24.6,0,254.02588,0.0005450000171549618,6.608004998351806,0.007507333333333339
0.2908171000017319,0.0,60,23.0,-51.5,1.82,0.04,-1.97,1.96,0.023,9,24.6,0,255.16846,0.0005090000049676746,8.8822424876748,0.010681166666666698
0.3173955999955069,0.0,60,23.0,-51.5,2.06,0.04,-1.93,1.92,0.023,11,24.6,0,256.11328,0.0005949999904260039,10.60110962566877,0.0133056666666666
0.3440965000190772,0.0,60,23.0,-51.5,2.16,0.04,-1.9,1.86,0.023,13,24.6,0,257.6294,0.0005033999914303422,12.788696055684234,0.017517111111111046
0.37072360000456683,0.0,60,23.0,-51.8,2.06,0.03,-1.86,1.82,0.023,15,24.6,0,259.36524,0.0004391999973449856,15.805399514879808,0.02233888888888881
