t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns,observer_error_deg,observer_error_age
0.026329300002544187,0.0,1200,26.6,-52.7,-0.06,0.0,0.0,-0.13,0.0,0,25.2,0,348.354496,1.1600001016631722e-05,-0.08414866300325696,-0.0004272000000000275,21.06469,0.0002823000031639822
0.05252100000507198,0.0,1200,26.5,-52.7,-0.05,0.0,0.0,-0.12,-0.003,0,25.2,0,348.37648,1.2899996363557875e-05,-0.08414866300325696,-0.00036613333333327265,34.5588,0.0003680000008898787
0.07900119999976596,0.0,1200,26.5,-52.7,0.98,0.01,-0.71,0.8,0.021,0,25.2,0,348.37648,1.3299999409355223e-05,0.18549738510886404,-0.00036613333333327265,28.80407,0.0004397000011522323
0.10569409999880008,0.0,1200,26.5,-52.7,2.6,0.04,-1.81,1.9,0.024,0,25.2,0,348.508288,4.310000076657161e-05,0.5546116194480811,5.421010862427522e-20,29.96304,0.0002491000050213188
0.13188250000530388,0.0,1200,26.6,-52.9,3.41,0.05,-2.42,2.43,0.025,2,25.2,0,349.057632,1.6099998902063817e-05,1.8327161260702716,0.0015259555555556087,29.05777,0.00041570000030333176
0.15799120000156108,0.0,1200,26.6,-52.9,4.13,0.07,-2.94,2.92,0.026,5,25.2,0,349.936512,1.4999997802078724e-05,4.005507390371703,0.003967288888888889,26.738,0.000439799994637724
0.18434810000326252,0.0,1200,26.6,-52.7,4.79,0.08,-3.41,3.37,0.027,10,25.2,0,351.408704,1.5900004655122757e-05,7.667581297278432,0.00805671111111113,28.31973,0.0002021000036620535
0.21074550000048475,0.0,1200,26.6,-52.4,5.36,0.1,-3.84,3.75,0.028,16,25.2,0,353.913568,1.5700003132224083e-05,14.010343249520966,0.01501466666666668,28.54925,0.00031290000333683565
0.2370264999990468,0.0,1200,26.6,-52.5,5.84,0.11,-4.2,4.07,0.028,26,25.2,0,357.495104,1.6500001947861165e-05,22.80109311527728,0.024963377777777872,15.76245,0.00036050000198883936
0.263175100000808,0.0,1200,26.5,-52.8,6.19,0.12,-4.45,4.32,0.028,38,25.2,0,2.504882,2.0700004824902862e-05,34.14719307434617,0.03887942777777782,4.90359,0.0003598000039346516
0.28954910000175005,0.0,1200,26.5,-52.9,6.42,0.12,-4.47,4.61,0.026,52,25.2,0,8.942871,1.809999957913533e-05,48.15861027347813,0.056762730555555564,-28.11734,0.0003995000006398186
0.3159894999989774,0.0,1200,26.6,-52.7,6.44,0.12,-4.34,4.75,0.029,67,25.2,0,16.677246,3.8700003642588854e-05,64.00660924674466,0.07824710555555556,-22.65249,0.00036589999945135787
0.3424062000049162,0.0,1200,26.5,-52.7,6.7,0.13,-4.89,4.58,0.029,81,25.2,0,25.356446,1.679999695625156e-05,79.60716044277959,0.10235599444444447,-49.59871,0.0003135999941150658
0.3689347000035923,0.0,1200,26.5,-52.4,6.95,0.14,-5.02,4.8,0.027,97,25.2,0,35.749512,1.7400001524947584e-05,96.66890306120243,0.13122562222222225,-54.58269,0.0003508000008878298
0.39526840000326047,0.0,1200,26.6,-52.4,6.87,0.13,-4.57,5.11,0.029,113,25.2,0,47.351076,2.0500003302004188e-05,113.15392687230066,0.1634521888888889,-83.21678,0.0003041000018129125
0.4218634999997448,0.0,1200,26.6,-52.0,7.03,0.14,-5.2,4.73,0.029,130,25.2,0,60.600584,1.68999977177009e-05,130.1445081124497,0.20025637777777777,-123.6535,0.0004115999981877394
0.45217170000250917,0.0,1200,26.5,-51.8,7.02,0.13,-4.74,5.16,0.029,151,25.2,0,77.651368,3.420000575715676e-05,149.24303381956,0.24761966666666674,-158.54778,0.00027520000003278255
0.4784536000006483,0.0,1200,26.5,-52.0,7.04,0.14,-5.21,4.74,0.028,170,25.2,0,94.24072,1.9400002202019095e-05,168.78051637145188,0.29370120000000005,177.0044,0.00031070000113686547
0.5051726000019698,0.0,1200,26.6,-51.8,6.88,0.13,-4.68,5.0,0.03,189,25.2,0,112.521976,1.720000000204891e-05,187.83853401774346,0.34448246666666665,146.05103,0.00044660000276053324
0.5315909999990254,0.0,1200,26.6,-51.4,6.98,0.14,-4.96,4.89,0.027,209,25.2,0,132.231448,1.6699996194802225e-05,207.53639389196016,0.399231,116.98447,0.0004721000004792586
0.562060800002655,0.0,1200,26.6,-51.3,6.81,0.13,-4.92,4.69,0.027,231,25.2,0,157.104496,1.2700002116616815e-05,229.41987889861872,0.46832280000000004,62.31894,0.0003412000005482696
0.5883353000026545,0.0,1200,26.6,-51.5,6.62,0.13,-4.62,4.69,0.029,251,25.2,0,180.13184,1.3399992894846946e-05,250.78264477239185,0.5322876444444444,27.18759,0.0005697999949916266
0.6145997999992687,0.0,1200,26.6,-51.4,6.55,0.12,-4.51,4.71,0.029,271,25.2,0,204.631344,2.460000541759655e-05,270.2747095918911,0.6003418222222222,-42.2355,0.0005487000016728416
0.6407480000052601,0.0,1200,26.5,-51.2,6.56,0.12,-4.55,4.69,0.029,288,25.2,0,230.251472,1.4500001270789653e-05,289.44848678561976,0.6715088444444444,-103.16843,0.00035010000283364207
0.6670311999987462,0.0,1200,26.5,-50.9,6.59,0.13,-4.66,4.67,0.028,304,25.2,0,256.904304,1.2999997125007212e-05,306.82056809796063,0.7455444888888889,-152.34172,0.0004951000009896234
0.693252000004577,0.0,1200,26.5,-50.9,6.57,0.12,-4.6,4.65,0.028,323,25.2,0,285.578624,1.8300001102034003e-05,326.4533797973968,0.8251953777777777,145.0293,0.00019250000332249328
0.7196227000022191,0.0,1200,26.5,-50.8,6.55,0.13,-4.67,4.56,0.028,340,25.2,0,315.26368,1.6599995433352888e-05,343.10675342257343,0.9076538666666667,134.6069,0.00046740000107092783
0.7459822000018903,0.0,1200,26.6,-50.9,6.55,0.12,-4.59,4.62,0.028,358,25.2,0,346.64064,1.2299999070819467e-05,360.2588823335231,0.994812088888889,57.00906,0.0004374999989522621
0.7736728000018047,0.0,1200,26.6,-51.3,6.46,0.12,-4.55,4.54,0.029,377,25.2,0,21.159668,2.4900000425986946e-05,378.48039720974845,1.0906982777777778,-38.61905,0.00034500000037951395
0.8004797000030521,0.0,1200,26.6,-51.5,6.49,0.12,-4.62,4.53,0.028,393,25.2,0,55.458984,1.4700002793688327e-05,396.05648791604455,1.1859741555555556,-119.66602,0.000305499997921288
0.8267180000038934,0.0,1200,26.6,-51.5,6.61,0.13,-4.72,4.6,0.028,409,25.2,0,90.461424,1.5300000086426735e-05,411.78985686560867,1.2832031555555556,-164.96666,0.00017050000315066427
