t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns
0.015000000013969839,0.0,120,23.5,-51.0,0.0,0.0,0.0,0.0,0.0,0,24.6,0,167.89306,0.0,0.15695238093666505,0.0002441111111110674
0.046000000002095476,0.1500000001396984,120,23.6,-51.0,0.02,0.0,-0.05,0.03,0.002,0,24.6,0,167.82714,0.0,0.15695238093666505,6.1000000000019874e-05
0.07800000000861473,0.46000000002095476,120,23.6,-51.0,0.17,0.0,-0.2,0.18,0.006,0,24.6,0,167.82714,0.0,2.5814337442325318e-17,6.1000000000019874e-05
0.09299999999348074,0.7800000000861473,120,23.6,-51.0,0.43,0.0,-0.4,0.37,0.012,0,24.6,0,167.82714,0.0,2.08500417840443e-17,6.1000000000019874e-05
0.125,0.9299999999348074,120,23.5,-51.0,0.69,0.0,-0.57,0.55,0.015,0,24.6,0,167.89306,0.0,0.19975757578287534,0.0002441111111110674
0.15599999998812564,1.25,120,23.6,-51.1,1.03,0.01,-0.76,0.81,0.018,0,24.6,0,167.84912,0.0,0.05196217495038719,0.0001220555555555338
0.17100000000209548,1.5599999998812564,120,23.6,-51.1,1.29,0.01,-1.01,1.06,0.019,0,24.6,0,167.89306,0.0,0.11717333333331226,0.0002441111111110674
0.20300000000861473,1.7100000000209548,120,23.6,-51.2,1.58,0.02,-1.18,1.19,0.02,0,24.6,0,167.93702,0.0,0.23439999999997477,0.0003662222222221742
0.23399999999674037,2.0300000000861473,120,23.6,-51.5,1.9,0.02,-1.38,1.41,0.021,0,24.6,0,168.06884,0.0,0.5713947990411173,0.000732388888888854
0.26500000001396984,2.3399999999674037,120,23.6,-51.5,2.22,0.03,-1.61,1.61,0.022,0,24.6,0,168.2666,0.0,1.150952380837575,0.0012817222222222333
0.28099999998812564,2.6500000001396984,120,23.6,-51.8,2.57,0.04,-1.83,1.85,0.023,0,24.6,0,168.68408,0.0,2.1093866666666754,0.002441388888888854
0.3120000000053551,2.8099999998812564,120,23.6,-52.2,2.78,0.04,-1.97,1.96,0.023,2,24.6,0,169.01368,0.0,2.7011347517105606,0.0033569444444444077
0.34299999999348074,3.120000000053551,120,23.6,-52.2,3.07,0.05,-2.18,2.17,0.024,4,24.6,0,169.80468,0.0,4.551476190968203,0.005554166666666621
0.35899999999674037,3.4299999999348074,120,23.6,-52.2,3.38,0.05,-2.41,2.38,0.025,7,24.6,0,170.88134,0.0,7.55856000000002,0.008544888888888855
0.39000000001396984,3.5899999999674037,120,23.6,-52.1,3.56,0.06,-2.54,2.51,0.025,10,24.6,0,171.87012,0.0,9.8437333333333,0.011291499999999942
0.4210000000020955,3.9000000001396984,120,23.6,-52.0,3.86,0.06,-2.76,2.7,0.025,14,24.6,0,173.78174,0.0,12.817380951102026,0.016601555555555574
0.4370000000053551,4.210000000020955,120,23.6,-52.1,4.18,0.07,-2.99,2.92,0.026,19,24.6,0,176.24268,0.0,19.628906666666655,0.0234375
0.46799999999348074,4.370000000053551,120,23.6,-52.3,4.37,0.07,-3.13,3.04,0.025,25,24.6,0,178.35206,0.0,24.140639999999994,0.02929688888888885
0.5,4.679999999934807,120,23.6,-52.7,4.67,0.08,-3.34,3.28,0.025,32,24.6,0,182.26318,0.0,28.621607564350168,0.040161111111111106
0.5150000000139698,5.0,120,23.6,-52.8,5.0,0.08,-3.49,3.59,0.025,40,24.6,0,187.25098,0.0,42.363306666666624,0.054016111111111084
0.5460000000020955,5.150000000139698,120,23.6,-52.8,5.1,0.08,-3.43,3.78,0.026,48,24.6,0,191.0083,0.0,49.687519999999935,0.06445311111111106
0.5780000000086147,5.460000000020955,120,23.6,-52.6,5.36,0.1,-3.79,3.8,0.028,56,24.6,0,197.40234,0.0,54.33427895855481,0.08221433333333333
0.5929999999934807,5.780000000086147,120,23.6,-52.7,5.74,0.11,-4.18,3.94,0.028,64,24.6,0,204.71924,0.0,73.30080000000005,0.10253905555555556
0.625,5.929999999934807,120,23.6,-52.4,5.96,0.11,-4.32,4.11,0.027,75,24.6,0,210.3003,0.0,81.9726933333333,0.11804199999999995
0.6559999999881256,6.25,120,23.6,-52.3,6.25,0.11,-4.19,4.64,0.027,87,24.6,0,220.07812,0.0,85.65697401097212,0.14520261111111113
0.6870000000053551,6.559999999881256,120,23.6,-52.3,6.41,0.13,-4.59,4.52,0.029,98,24.6,0,227.3291,0.0,90.33200945417653,0.16534422222222225
0.7030000000086147,6.870000000053551,120,23.6,-52.1,6.78,0.14,-5.06,4.69,0.028,112,24.6,0,239.41406,0.0,123.39845333333334,0.19891355555555557
0.7339999999967404,7.030000000086147,120,23.6,-52.0,7.04,0.13,-4.69,5.22,0.029,127,24.6,0,253.56446,0.0,127.26482269209339,0.2382202222222222
0.7650000000139698,7.339999999967404,120,23.5,-52.0,7.27,0.15,-5.34,4.94,0.03,143,24.6,0,263.80372,0.0,134.29480951040892,0.26666261111111106
0.7809999999881256,7.650000000139698,120,23.5,-52.3,7.68,0.15,-5.18,5.64,0.03,162,24.6,0,281.35986,0.0,180.87888000000007,0.3154296666666667
0.8120000000053551,7.809999999881256,120,23.6,-52.2,7.77,0.17,-5.77,5.22,0.03,182,24.6,0,301.06934,0.0,206.60154666666668,0.37017822222222224
0.8429999999934807,8.120000000053551,120,23.6,-52.3,8.08,0.17,-5.51,5.88,0.031,203,24.6,0,315.59326,0.0,200.8405238312346,0.41052244444444436
0.8589999999967404,8.429999999934807,120,23.5,-52.4,8.5,0.18,-5.99,5.99,0.03,227,24.6,0,339.7632,0.0,255.52741333333327,0.4776611666666666
0.8900000000139698,8.589999999967404,120,23.6,-52.7,8.59,0.19,-6.25,5.88,0.029,254,24.6,0,7.31689,0.0,289.9804533333333,0.5541991944444444
