t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns
0.030999999988125637,0.0,60.0,23.8,-52.2,0.0,0.0,0.0,0.0,0.0,0,24.6,0,151.96289,0.0,5.767032832236383e-18,3.3881317890172014e-20
0.062000000005355105,0.30999999988125637,60.0,23.8,-52.3,-0.15,0.0,-0.04,0.16,-0.003,33,24.6,0,151.98486,0.0,5.767032832236383e-18,6.102777777780631e-05
0.0779999999795109,0.620000000053551,60.0,23.8,-52.4,-0.35,0.0,-0.02,0.43,-0.007,41,24.6,0,151.94092,0.0,5.767032832236383e-18,-6.1027777777727305e-05
0.10899999999674037,0.779999999795109,60.0,23.8,-52.4,-0.35,0.0,-0.01,0.66,-0.01,47,24.6,0,151.94092,0.0,0.09388888887856314,-6.1027777777727305e-05
0.139999999984866,1.0899999999674037,60.0,23.8,-52.4,-0.44,0.0,-0.04,0.92,-0.014,51,24.6,0,151.94092,0.0,0.06718654434454822,-6.1027777777727305e-05
0.15599999998812564,1.39999999984866,60.0,23.8,-52.5,0.04,0.01,0.03,1.24,0.017,54,24.6,0,151.94092,0.0,0.05858666666669403,-6.10277777777273e-05
0.1870000000053551,1.5599999998812564,60.0,23.8,-52.5,-0.02,0.01,0.05,1.49,0.018,56,24.6,0,151.94092,0.0,-0.058586666666618235,-6.10277777777273e-05
0.21799999999348074,1.870000000053551,60.0,23.9,-52.5,0.98,0.02,0.03,1.82,0.019,57,24.6,0,151.94092,0.0,-0.1569523809367327,-6.1027777777727305e-05
0.23399999999674037,2.1799999999348074,60.0,23.9,-52.5,1.18,0.02,0.04,2.13,-0.02,58,24.6,0,151.91895,0.0,-0.1757600000000063,-0.00012205555555553358
0.264999999984866,2.3399999999674037,60.0,23.9,-52.5,1.73,0.03,0.01,2.29,-0.021,58,24.6,0,151.94092,0.0,6.5052130349130266e-18,-6.10277777777273e-05
0.29699999999138527,2.64999999984866,60.0,23.9,-52.5,1.96,0.03,0.03,2.55,0.023,59,24.6,0,151.98486,0.0,0.0,6.10277777778063e-05
0.3279999999795109,2.9699999999138527,60.0,23.9,-52.4,2.51,0.04,-0.07,2.9,0.023,59,24.6,0,152.07275,0.0,0.2597163121044031,0.00030516666666673906
0.34299999999348074,3.279999999795109,60.0,23.9,-52.2,3.07,0.05,-0.09,3.24,0.024,59,24.6,0,152.20459,0.0,0.7617066666666688,0.0006713888888889131
0.375,3.4299999999348074,60.0,23.9,-52.0,3.37,0.05,-0.07,3.44,0.024,59,24.6,0,152.66602,0.0,1.610307328567987,0.0019531388888889326
0.40599999998812564,3.75,60.0,23.8,-51.8,3.74,0.06,0.01,3.75,0.023,59,24.6,0,153.45703,0.0,3.480307328524756,0.004150388888888933
0.4370000000053551,4.0,60.0,23.8,-51.5,3.97,0.06,0.12,3.97,0.023,59,24.6,0,154.31396,0.0,5.6500952375314535,0.006530750000000059
0.46799999999348074,4.0,60.0,23.8,-51.5,3.94,0.06,0.07,3.94,0.025,59,24.6,0,156.40137,0.0,10.620119046559276,0.012329111111111107
0.5,4.0,60.0,23.8,-51.8,3.99,0.07,-0.1,3.99,0.025,59,24.6,0,158.31299,0.0,15.937493333333348,0.017639166666666737
0.514999999984866,4.0,60.0,23.8,-51.9,4.01,0.07,-0.1,4.01,0.025,59,24.6,0,160.15869,0.0,18.62442857344187,0.022766111111111164
0.5469999999913853,4.0,60.0,23.9,-51.8,4.04,0.06,-0.03,4.04,0.024,60,24.6,0,161.32324,0.0,19.842907800959722,0.02600097222222225
0.5779999999795109,4.0,60.0,23.8,-51.9,4.04,0.06,0.15,4.03,0.023,60,24.6,0,162.94922,0.0,21.29737589042848,0.030517583333333362
0.5929999999934807,4.0,60.0,23.8,-51.7,3.96,0.06,0.17,3.95,0.024,60,24.6,0,163.95996,0.0,24.609360000000006,0.03332519444444447
0.625,4.0,60.0,23.8,-51.5,3.95,0.06,-0.05,3.95,0.026,60,24.6,0,165.32227,0.0,22.089866666666698,0.037109388888888935
0.6559999999881256,4.0,60.0,23.9,-51.5,3.98,0.07,-0.1,3.98,0.026,60,24.6,0,166.44287,0.0,17.817068557507728,0.0402221666666667
0.6719999999913853,4.0,60.0,23.9,-51.4,4.01,0.07,-0.11,4.01,0.025,60,24.6,0,166.9043,0.0,16.464853333333316,0.04150391666666672
0.7029999999795109,4.0,60.0,23.9,-51.4,4.03,0.06,-0.08,4.03,0.025,60,24.6,0,167.18994,0.0,14.179680000000038,0.04229736111111117
0.7339999999967404,4.0,60.0,23.9,-51.3,4.04,0.06,0.03,4.04,0.023,60,24.6,0,166.97021,0.0,8.259219857965094,0.04168700000000006
0.75,4.0,60.0,23.9,-51.3,4.0,0.06,0.13,4.0,0.023,60,24.6,0,166.53076,0.0,5.5663999999999225,0.04046630555555555
0.7809999999881256,4.0,60.0,23.9,-51.3,3.93,0.06,0.14,3.93,0.025,60,24.6,0,165.49805,0.0,-0.5859199999999909,0.03759766666666672
0.8120000000053551,4.0,60.0,23.9,-51.1,3.97,0.06,-0.1,3.97,0.026,60,24.6,0,164.15771,0.0,-5.911690475600591,0.03387450000000006
0.8429999999934807,4.0,60.0,23.8,-51.3,4.0,0.07,-0.11,4.0,0.025,60,24.6,0,163.25684,0.0,-8.945999999107311,0.0313720833333334
0.8589999999967404,4.0,60.0,23.8,-51.5,4.02,0.06,-0.1,4.02,0.025,60,24.6,0,162.22412,0.0,-13.242186666666694,0.028503416666666694
0.889999999984866,4.0,60.0,23.8,-51.7,4.05,0.06,0.0,4.05,0.023,60,24.6,0,161.6748,0.0,-12.032666667967392,0.026977527777777822
0.9219999999913853,4.0,60.0,23.8,-51.7,4.02,0.06,0.19,4.01,0.023,60,24.6,0,161.65283,0.0,-10.752576831902715,0.026916500000000013
0.9370000000053551,4.0,60.0,23.8,-51.8,3.95,0.06,0.12,3.94,0.025,60,24.6,0,162.22412,0.0,-7.324213333333321,0.028503416666666694
0.9679999999934807,4.0,60.0,23.8,-51.9,3.96,0.06,-0.06,3.96,0.025,60,24.6,0,162.90527,0.0,-1.992186666666691,0.030395500000000034
1.0,4.0,60.0,23.8,-51.7,3.99,0.07,-0.11,3.99,0.025,60,24.6,0,164.35547,0.0,3.5841843970802545,0.034423833333333355
